"Atlanta, GA",United States,North America,5,3,5,3,5,4,4,4,4,4,4,4,3,3.14,3,3,5,3,4,5,4,3,44
"Boulder, CO",United States,North America,3,3,5,1,5,4,4,4,4,4,4,5,4,3.37,4,3,5,4,5,5,3,3,17
Vancouver,Canada,North America,3,5,5,2,5,5,5,4,4,3,5,4,3,3.98,4,4,5,4,4,5,3,5,105
"Seattle, WA",United States,North America,3,3,5,2,5,4,4,4,4,4,4,4,4,3.73,5,3,5,4,5,5,3,5,97
Granada,Spain,Europe,3,3,5,3,2,4,4,5,4,3,3,4,2,2.38,3,4,5,4,4,5,3,1,23
Seville,Spain,Europe,3,3,5,3,3,4,4,5,4,4,4,4,3,2.8,2,4,5,5,4,5,4,3,44
Dublin,Ireland,Europe,2,3,5,2,5,5,4,5,4,3,4,4,4,2.92,3,4,5,5,4,5,1,2,102
Berlin,Germany,Europe,3,4,5,3,4,5,4,4,3,4,5,4,4,4.09,5,4,5,5,4,5,3,3,350
Cologne,Germany,Europe,4,4,5,3,3,5,4,4,4,4,5,4,4,3.58,2,4,5,5,4,5,3,4,40
Johannesburg,South Africa,Africa,3,3,2,4,5,3,2,1,2,3,3,3,2,1.98,3,3,2,2,2,5,1,2,13
Athens,Greece,Europe,3,4,4,3,4,4,3,5,3,5,3,4,4,3.9,4,2,5,5,4,5,4,3,115
Hamburg,Germany,Europe,2,4,5,2,4,5,4,4,4,5,4,4,4,2.91,2,4,5,5,4,5,3,3,37
Tokyo,Japan,Asia,3,4,5,1,2,4,3,5,4,4,4,4,5,3.43,3,3,5,5,5,5,5,2,243
Copenhagen,Denmark,Europe,3,3,5,2,5,5,5,4,4,4,4,4,4,3.74,4,5,5,5,4,5,3,4,107
Porto,Portugal,Europe,5,4,5,3,4,5,3,5,4,3,4,4,4,3.95,3,4,5,4,4,5,3,4,95
Bucharest,Romania,Europe,3,3,5,4,3,4,3,3,5,4,2,4,4,3.86,4,3,5,4,4,5,5,4,67
Timisoara,Romania,Europe,4,3,5,4,5,4,3,3,4,4,2,4,4,4.1,5,3,5,4,4,5,5,5,9
Paphos,Cyprus,Europe,4,3,5,3,4,3,3,4,3,4,3,4,4,3.11,2,4,5,4,4,3,5,3,5
Sofia,Bulgaria,Europe,5,3,4,4,3,4,2,2,4,4,1,4,4,3.78,3,2,5,4,4,5,4,4,66
Shanghai,China,Asia,4,3,2,3,3,3,3,1,3,4,3,3,5,3.56,4,1,4,4,4,5,4,4,62
Glasgow,United Kingdom,Europe,1,3,5,2,5,4,4,3,4,4,4,4,4,2.5,4,3,5,5,4,5,3,2,25
Bristol,United Kingdom,Europe,2,3,5,2,5,4,4,3,4,5,5,4,4,3.41,3,3,5,5,4,5,3,3,16
Brighton,United Kingdom,Europe,3,3,5,1,4,4,4,3,4,3,4,4,4,3.5,3,3,5,4,5,5,3,4,18
Graz,Austria,Europe,2,3,5,3,3,5,4,5,4,3,4,4,3,3.11,3,4,5,5,4,5,4,3,9
Ljubljana,Slovenia,Europe,5,3,5,3,5,4,3,4,5,4,4,4,4,3.75,4,3,5,4,4,5,4,4,23
Zagreb,Croatia,Europe,5,3,4,4,4,4,3,4,3,3,2,4,3,3.89,4,3,5,5,4,5,5,4,44
"Miami, FL",United States,North America,5,4,5,1,4,4,4,4,4,4,5,4,4,4.14,5,3,5,4,5,5,5,5,80
"New Orleans, L",United States,North America,5,4,5,1,5,4,4,4,4,4,4,4,5,2.48,3,3,5,3,4,5,5,2,37
Yerevan,Armenia,Europe,3,3,4,4,3,3,2,2,3,3,2,4,4,3.73,5,3,5,4,4,5,4,5,6
"San Diego, CA",United States,North America,3,3,5,2,5,4,4,4,5,4,4,4,3,3.73,5,3,5,4,5,5,4,4,75
São Paulo,Brazil,Latin America,4,4,4,4,2,3,4,2,3,5,4,4,5,3.25,3,2,2,2,4,5,4,4,54
Amman,Jordan,Middle East,3,3,3,4,4,2,3,3,3,3,1,4,3,3.86,5,1,2,4,4,2,4,4,8
Lviv,Ukraine,Europe,3,3,5,4,3,2,1,1,4,4,2,4,4,3.9,5,2,5,3,4,5,4,3,13
Frankfurt,Germany,Europe,3,3,5,2,4,5,4,4,4,4,5,4,4,3.9,5,4,5,5,4,5,3,3,48
Tel Aviv,Israel,Middle East,5,4,5,2,4,3,5,4,4,4,5,4,4,4,5,2,5,4,4,5,5,4,59
Lima,Peru,Latin America,2,3,2,4,2,3,3,2,3,4,2,3,3,2.86,4,3,5,3,3,5,2,2,67
Belgrade,Serbia,Europe,5,3,4,4,4,3,3,0,4,4,1,4,5,4.54,3,3,5,4,4,5,5,4,84
Kathmandu,Nepal,Asia,3,3,2,4,5,1,2,1,2,5,3,3,3,3.53,2,2,4,4,3,5,4,4,21
Mumbai,India,Asia,2,3,0,4,4,2,2,2,3,3,1,3,3,2.54,2,1,4,3,3,5,3,3,41
Ko Lanta,Thailand,Asia,3,3,5,4,3,2,4,1,4,3,4,4,2,2,5,1,2,4,4,2,3,1,99
Siem Reap,Cambodia,Asia,1,4,4,4,3,2,2,1,3,3,3,3,2,3.09,3,1,5,4,3,5,4,2,103
Manila,Philippines,Asia,5,3,4,4,5,2,3,4,3,3,3,4,4,1.77,3,1,5,3,3,5,5,1,60
Jakarta,Indonesia,Asia,3,4,1,4,3,3,3,3,3,3,1,4,3,2.58,5,1,4,4,3,5,1,3,37
Kyoto,Japan,Asia,4,3,5,3,1,4,3,5,4,5,3,4,4,1.28,1,3,5,5,4,5,5,1,74
Abu Dhabi,United Arab Emira,Middle East,5,3,1,1,5,4,4,1,3,5,1,3,3,3.49,4,2,5,5,3,5,2,4,10
Liverpool,United Kingdom,Europe,3,3,5,3,5,4,4,3,4,4,3,4,4,3.39,4,3,5,5,5,5,3,3,13
Sliema,Malta,Europe,2,3,5,2,4,4,4,5,4,4,4,4,4,2.89,2,3,5,5,4,5,5,3,19
Doha,Qatar,Middle East,5,3,1,2,3,4,4,4,3,4,1,3,3,2.81,4,2,5,4,3,3,0,4,29
Yokohama,Japan,Asia,3,3,5,3,1,4,3,5,4,4,2,4,3,1.53,1,3,5,5,4,3,5,1,2
"Denpasar, Bali",Indonesia,Asia,4,3,2,4,3,3,3,3,3,1,1,4,2,3.48,4,1,4,4,3,5,5,4,24
Phuket,Thailand,Asia,4,4,5,4,3,2,4,1,4,3,4,4,4,3.99,4,1,2,4,4,3,3,4,139
Malaga,Spain,Europe,5,3,5,3,3,4,4,5,4,4,3,4,3,3.12,3,4,5,5,4,5,4,2,48
"Las Palmas, Ca",Spain,Europe,3,3,4,3,3,4,4,5,4,4,4,4,4,2.67,3,4,5,5,4,5,4,3,71
Bratislava,Slovakia,Europe,2,3,5,4,3,4,4,3,4,3,2,4,3,3.6,3,4,5,4,4,5,5,3,46
Johor Bahru,Malaysia,Asia,2,3,5,4,3,3,4,4,3,2,3,4,2,2.57,3,1,2,3,4,5,4,2,6
Cluj,Romania,Europe,3,3,5,4,5,4,3,3,5,4,2,4,3,3.95,5,3,5,4,4,5,4,4,7
Nottingham,United Kingdom,Europe,2,3,5,3,5,4,4,3,4,3,4,4,4,3.55,3,3,5,4,4,5,3,3,7
Northampton,United Kingdom,Europe,3,3,5,2,5,4,4,3,4,2,5,4,2,2.72,4,3,5,4,4,5,3,3,2
Gili Air,Indonesia,Asia,2,3,2,4,3,3,3,3,3,2,1,4,2,2.22,2,1,4,4,3,1,4,2,20
Salzburg,Austria,Europe,3,3,5,1,3,5,4,5,4,3,3,4,2,3.55,3,4,5,5,4,5,4,6,18
Sheffield,United Kingdom,Europe,4,3,5,2,5,4,4,3,4,3,3,4,3,3.24,4,3,5,5,4,5,3,4,7
The Hague,Netherlands,Europe,3,3,5,1,5,5,5,5,5,4,5,4,3,3.4,4,5,5,5,4,5,3,4,11
Aberdeen,United Kingdom,Europe,1,3,5,1,5,4,4,3,4,3,4,4,3,2.8,3,3,5,4,4,5,2,3,3
Palawan,Philippines,Asia,4,3,4,4,5,2,3,4,4,5,2,4,3,1.52,1,1,5,3,3,1,4,1,5
Port Louis,Mauritius,Africa,3,3,5,4,3,4,3,3,3,4,2,4,3,3.76,4,3,5,4,4,5,5,4,3
Pai,Thailand,Asia,1,3,5,4,1,2,4,1,3,2,3,4,1,2.92,3,1,2,4,4,5,5,2,24
Chiang Rai,Thailand,Asia,3,3,4,4,3,2,4,1,4,4,2,4,3,3.36,3,1,2,3,4,5,5,3,5
